"SR - Tipo BP","ID Service Request","SR - Stato Sistema","SR - Stato utente","SR - Categorizzazione I","SR - Categorizzazione II","SR - Categorizzazione III","SR - Tipo processo","
N. SR","codice_BP"
"Privato","8000348700","Concluso","Chiuso","Processo Commerciale","Voltura","ZCAT01/Senza attribuz.","Voltura","1","1000000976"
"Privato","8000348701","Concluso","Chiuso","Processo Commerciale","Voltura","ZCAT01/Senza attribuz.","Voltura","1","1000001656"
"Privato","8000348702","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001087"
"Privato","8000348703","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001912"
"Privato","8000348704","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001884"
"Privato","8000348706","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001341"
"Privato","8000348707","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000000996"
"Privato","8000348710","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001120"
"Privato","8000348711","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001910"
"Privato","8000348712","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001194"
"Privato","8000348713","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001361"
"Privato","8000348714","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001510"
"Privato","8000348715","Concluso","Chiuso","Richiesta Post Sales","Richiesta rateizzazione","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001411"
"Privato","8000348716","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001609"
"Privato","8000348717","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000000970"
"Privato","8000348718","Concluso","Annullato","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001131"
"Privato","8000348719","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001533"
"Privato","8000348720","Concluso","Chiuso","Processo Commerciale","Voltura","ZCAT01/Senza attribuz.","Voltura","1","1000001395"
"Privato","8000348721","Aperto","In attesa fatturazione","Gestione utenza","Verifica da Cliente","Verifica per Matricola Errata","Verifica da Cliente","1","1000001387"
"Privato","8000348722","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000000944"
"Privato","8000348723","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001684"
"Privato","8000348724","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001534"
"Privato","8000348730","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001855"
"Privato","8000348732","Concluso","Chiuso","Processo Commerciale","Voltura a titolo gratuito","ZCAT01/Senza attribuz.","Voltura gratuita","1","1000001132"
"Privato","8000348733","Concluso","Chiuso","Gestione utenza","Verifica da Cliente","Verifica per Matricola Errata","Verifica da Cliente","1","1000001226"
"Privato","8000348734","Concluso","Chiuso","Richiesta Post Sales","Dimostrato pagamento / Distacchi","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001444"
"Privato","8000348735","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001463"
"Privato","8000348736","Aperto","Necessaria operatività","Processo Commerciale","Scissione d'utenza","ZCAT01/Senza attribuz.","Scissione d'utenza","1","1000000980"
"Privato","8000348737","Concluso","Chiuso","Processo Commerciale","Voltura","ZCAT01/Senza attribuz.","Voltura","1","1000001240"
"Privato","8000348741","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001618"
"Privato","8000348742","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001799"
"Privato","8000348743","Aperto","In attesa consuntivazione Ods","Processi commerciali","Cessazione","Rimozione Misuratore per richiesta Cliente","Cessazione","1","1000001429"
"Privato","8000348745","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001903"
"Privato","8000348748","Aperto","In attesa rientro document.","Processo Commerciale","Voltura","ZCAT01/Senza attribuz.","Voltura","1","1000001861"
"Privato","8000348753","Concluso","Chiuso","Processo Commerciale","Voltura","ZCAT01/Senza attribuz.","Voltura","1","1000001063"
"Privato","8000348755","Concluso","Chiuso","Processi commerciali","Subentro","Posa misuratore","Subentro","1","1000001266"
"Privato","8000348757","Concluso","Annullato","Processo Commerciale","Voltura","ZCAT01/Senza attribuz.","Voltura","1","1000001612"
"Privato","8000348765","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001876"
"Privato","8000348767","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001820"
"Privato","8000348771","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001058"
"Privato","8000348774","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001497"
"Privato","8000348776","Aperto","In lavorazione","Processo Commerciale","Cambio d'uso","ZCAT01/Senza attribuz.","Cambio d'uso","1","1000000896"
"Privato","8000348777","Concluso","Chiuso","Richiesta Post Sales","Inserimento lettura","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002089"
"Privato","8000348778","Aperto","In attesa consuntivazione Ods","Processi commerciali","Cessazione","Rimozione Misuratore per richiesta Cliente","Cessazione","1","1000000883"
"Privato","8000348779","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001894"
"Privato","8000348782","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001354"
"Privato","8000348783","Concluso","Chiuso","Richiesta Post Sales","Inserimento lettura","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001580"
"Privato","8000348784","Aperto","In lavorazione","Processi commerciali","Cessazione","Rimozione Misuratore per richiesta Cliente","Cessazione","1","1000001721"
"Privato","8000348787","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001615"
"Privato","8000348789","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001221"
"Privato","8000348791","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001363"
"Privato","8000348793","Aperto","Necessaria operatività","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000000934"
"Privato","8000348794","Concluso","Chiuso","Gestione Utenza","Sostituzione contatore guasto","ZCAT01/Senza attribuz.","Gestione Utenza","1","1000000942"
"Privato","8000348797","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000000928"
"Privato","8000348798","Concluso","Chiuso","Richiesta Post Sales","Richiesta rateizzazione","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001663"
"Privato","8000348806","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001177"
"Privato","8000348809","Concluso","Chiuso","Processo Commerciale","Voltura","ZCAT01/Senza attribuz.","Voltura","1","1000002005"
"Privato","8000348811","Concluso","Chiuso","Richiesta Post Sales","Inserimento lettura","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001774"
"Privato","8000348812","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001960"
"Privato","8000348813","Concluso","Annullato","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001656"
"Privato","8000348814","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001730"
"Privato","8000348822","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002095"
"Privato","8000348823","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001550"
"Privato","8000348825","Concluso","Chiuso","Processo Commerciale","Variazione anagrafica","ZCAT01/Senza attribuz.","Variaz.dati anagraf.","1","1000001905"
"Privato","8000348826","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002015"
"Privato","8000348827","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002068"
"Privato","8000348829","Concluso","Chiuso","Processo Commerciale","Variazione anagrafica","ZCAT01/Senza attribuz.","Variaz.dati anagraf.","1","1000001780"
"Privato","8000348830","Concluso","Chiuso","Processi commerciali","Cessazione","Rimozione Misuratore per richiesta Cliente","Cessazione","1","1000001711"
"Privato","8000348832","Concluso","Chiuso","Processi commerciali","Nuova attivazione","Nuovo Allaccio","Nuova Attivazione","1","1000001744"
"Privato","8000348840","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001173"
"Privato","8000348842","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002080"
"Privato","8000348845","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001551"
"Privato","8000348846","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001607"
"Privato","8000348847","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001989"
"Privato","8000348852","Aperto","In attesa intervento","Gestione Utenza","Sostituzione contatore guasto","ZCAT01/Senza attribuz.","Gestione Utenza","1","1000000916"
"Privato","8000348855","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002057"
"Privato","8000348857","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001936"
"Privato","8000348858","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001989"
"Privato","8000348860","Concluso","Chiuso","Richiesta Post Sales","Rifatturazione","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001331"
"Privato","8000348863","Aperto","In lavorazione","Processi commerciali","Cessazione","Rimozione Misuratore per richiesta Cliente","Cessazione","1","1000000935"
"Privato","8000348865","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001492"
"Privato","8000348866","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001677"
"Privato","8000348868","Concluso","Chiuso","Processo Commerciale","Voltura a titolo gratuito","ZCAT01/Senza attribuz.","Voltura gratuita","1","1000001043"
"Privato","8000348870","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002025"
"Privato","8000348871","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001508"
"Privato","8000348873","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000002061"
"Privato","8000348875","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001970"
"Privato","8000348878","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001321"
"Privato","8000348879","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001969"
"Privato","8000348884","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002078"
"Privato","8000348885","Concluso","Chiuso","Richiesta Post Sales","Inserimento lettura","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001498"
"Privato","8000348886","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001699"
"Privato","8000348887","Aperto","In attesa consuntivazione Ods","Processi commerciali","Cessazione","Rimozione Misuratore per richiesta Cliente","Cessazione","1","1000001777"
"Privato","8000348888","Concluso","Annullato","Processi commerciali","Subentro","Posa misuratore dopo rimozione morosità","Subentro","1","1000002085"
"Privato","8000348889","Concluso","Chiuso","Processo Commerciale","Variazione anagrafica","ZCAT01/Senza attribuz.","Variaz.dati anagraf.","1","1000001431"
"Privato","8000348891","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001821"
"Privato","8000348894","Aperto","Gestione modulistica","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001560"
"Privato","8000348895","Concluso","Chiuso","Richiesta Post Sales","Richiesta rateizzazione","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001778"
"Privato","8000348896","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001296"
"Privato","8000348901","Aperto","In attesa rientro document.","Processo Commerciale","Voltura a titolo gratuito","ZCAT01/Senza attribuz.","Voltura gratuita","1","1000001406"
"Privato","8000348902","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002016"
"Privato","8000348903","Concluso","Chiuso","Richiesta Post Sales","Inserimento lettura","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001790"
"Privato","8000348905","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002013"
"Privato","8000348908","Concluso","Chiuso","Richiesta Post Sales","Inserimento lettura","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001538"
"Privato","8000348909","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001007"
"Privato","8000348911","Concluso","Chiuso","Richiesta Post Sales","Rifatturazione","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001328"
"Privato","8000348913","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001619"
"Privato","8000348921","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000000910"
"Privato","8000348922","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001961"
"Privato","8000348927","Concluso","Chiuso","Processo Commerciale","Voltura","ZCAT01/Senza attribuz.","Voltura","1","1000001721"
"Privato","8000348930","Concluso","Chiuso","Richiesta Post Sales","Rifatturazione","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001038"
"Privato","8000348934","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001221"
"Privato","8000348936","Concluso","Chiuso","Reclami commerciali","Reclami su fatturazione","Altre casistiche","Reclamo","1","1000001854"
"Privato","8000348938","Concluso","Chiuso","Reclami commerciali","Reclami su fatturazione","Altre casistiche","Reclamo","1","1000000997"
"Privato","8000348939","Concluso","Chiuso","Richiesta Post Sales","Dimostrato Pagamento","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002034"
"Privato","8000348940","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001602"
"Privato","8000348944","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001188"
"Privato","8000348947","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001255"
"Privato","8000348948","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001487"
"Privato","8000348949","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001046"
"Privato","8000348950","Concluso","Chiuso","Richiesta Post Sales","Richiesta rateizzazione","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001256"
"Privato","8000348952","Concluso","Chiuso","Reclami commerciali","Reclami su fatturazione","Altre casistiche","Reclamo","1","1000001280"
"Privato","8000348954","Concluso","Chiuso","Reclami commerciali","Reclami su fatturazione","Altre casistiche","Reclamo","1","1000001534"
"Privato","8000348955","Concluso","Chiuso","Richiesta di Rettifica di Fatturazione","Consumo presunto errato","ZCAT_RECL/Senza attribuz.","Reclamo","1","1000001346"
"Privato","8000348957","Concluso","Chiuso","Reclami commerciali","Reclami su fatturazione","Altre casistiche","Reclamo","1","1000001406"
"Privato","8000348958","Concluso","Chiuso","Reclami commerciali","Reclami su fatturazione","Altre casistiche","Reclamo","1","1000001665"
"Privato","8000348960","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000000988"
"Privato","8000348961","Concluso","Chiuso","Reclami commerciali","Reclami su fatturazione","Tariffe/Canoni/Cauzioni","Reclamo","1","1000001909"
"Privato","8000348962","Concluso","Chiuso","Reclami commerciali","Reclami su fatturazione","Altre casistiche","Reclamo","1","1000001271"
"Privato","8000348963","Concluso","Chiuso","Richiesta di Rettifica di Fatturazione","Consumo presunto errato","ZCAT_RECL/Senza attribuz.","Reclamo","1","1000002095"
"Privato","8000348964","Concluso","Chiuso","Richiesta di Rettifica di Fatturazione","Consumo presunto errato","ZCAT_RECL/Senza attribuz.","Reclamo","1","1000001499"
"Privato","8000348965","Concluso","Chiuso","Richiesta di Rettifica di Fatturazione","Consumo presunto errato","ZCAT_RECL/Senza attribuz.","Reclamo","1","1000001465"
"Privato","8000348966","Concluso","Chiuso","Reclami commerciali","Reclami su fatturazione","Altre casistiche","Reclamo","1","1000001413"
"Privato","8000348967","Concluso","Chiuso","Reclami commerciali","Reclami su fatturazione","Altre casistiche","Reclamo","1","1000002050"
"Privato","8000348969","Concluso","Chiuso","Richiesta Post Sales","Dimostrato Pagamento","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001541"
"Privato","8000348980","Concluso","Chiuso","Richiesta Post Sales","Dimostrato Pagamento","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001025"
"Privato","8000348981","Concluso","Chiuso","Richiesta Post Sales","Dimostrato Pagamento","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001545"
"Privato","8000348983","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001471"
"Privato","8000348984","Concluso","Chiuso","Richiesta Post Sales","Dimostrato Pagamento","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001122"
"Privato","8000348985","Concluso","Chiuso","Reclami commerciali","Reclami su fatturazione","ZCAT_RECL/Senza attribuz.","Reclamo","1","1000001921"
"Privato","8000348986","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001960"
"Privato","8000348987","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001487"
"Privato","8000348989","Concluso","Chiuso","Reclami tecnici","Reclami su prestazioni","Lavori non eseguiti a regola d'arte","Reclamo","1","1000001220"
"Privato","8000348998","Concluso","Chiuso","Processo Commerciale","Voltura","ZCAT01/Senza attribuz.","Voltura","1","1000000884"
"Privato","8000348999","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001012"
"Privato","8000349003","Aperto","In lavorazione","Gestione Utenza","Sostituzione contatore guasto","ZCAT01/Senza attribuz.","Gestione Utenza","1","1000001148"
"Privato","8000349004","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001435"
"Privato","8000349007","Aperto","Nuovo","Richiesta Post Sales","Contestazione","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001853"
"Privato","8000349008","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001313"
"Privato","8000349009","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001635"
"Privato","8000349011","Concluso","Chiuso","Richiesta Post Sales","Inserimento lettura","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002051"
"Privato","8000349012","Aperto","Gestione modulistica","Processi commerciali","Cessazione","Rimozione Misuratore per richiesta Cliente","Cessazione","1","1000001930"
"Privato","8000349014","Aperto","In lavorazione","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001530"
"Privato","8000349016","Concluso","Chiuso","Processo Commerciale","Voltura","ZCAT01/Senza attribuz.","Voltura","1","1000001677"
"Privato","8000349018","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001832"
"Privato","8000349021","Aperto","In lavorazione WFM","Processi commerciali","Richiesta preventivo acquedotto","Spostamento allacciamento","Preventivaz. idrica","1","1000002073"
"Privato","8000349023","Aperto","In lavorazione WFM","Processi commerciali","Richiesta preventivo fognatura","All. fognario eseguito da cliente","Preventivaz.fognaria","1","1000001808"
"Privato","8000349024","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001708"
"Privato","8000349025","Aperto","In lavorazione WFM","Processi commerciali","Richiesta preventivo acquedotto","Spostamento allacciamento","Preventivaz. idrica","1","1000001140"
"Privato","8000349026","Aperto","Gestione modulistica","Processi commerciali","Cessazione","Rimozione Misuratore per richiesta Cliente","Cessazione","1","1000001495"
"Privato","8000349027","Aperto","In attesa fatturazione","Gestione utenza","Verifica da Cliente","Verifica metrologica","Verifica da Cliente","1","1000000982"
"Privato","8000349028","Concluso","Chiuso","Reclami tecnici","Reclami su prestazioni","Lavori non eseguiti a regola d'arte","Reclamo","1","1000001640"
"Privato","8000349029","Aperto","In attesa esecuzione lavori","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000001195"
"Privato","8000349030","Concluso","Chiuso","Processo Commerciale","Voltura","ZCAT01/Senza attribuz.","Voltura","1","1000001448"
"Privato","8000349032","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001172"
"Privato","8000349034","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001678"
"Privato","8000349035","Concluso","Chiuso","Richiesta Post Sales","Rifatturazione","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001010"
"Privato","8000349036","Aperto","Nuovo","Richiesta Post Sales","Richiesta rateizzazione","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001895"
"Privato","8000349038","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001567"
"Privato","8000349039","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001685"
"Privato","8000349040","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001375"
"Privato","8000349041","Concluso","Chiuso","Processo Commerciale","Voltura","ZCAT01/Senza attribuz.","Voltura","1","1000001510"
"Privato","8000349044","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000001098"
"Privato","8000349045","Aperto","Gestione modulistica","Processi commerciali","Subentro","Posa misuratore","Subentro","1","1000001037"
"Privato","8000349050","Concluso","Chiuso","Richieste scritte","Richieste info commerciali","ZCAT_RECL/Senza attribuz.","Reclamo","1","1000001088"
"Privato","8000349051","Aperto","Nuovo","Richiesta Post Sales","Perdita occulta all'impianto interno","ZCAT01/Senza attribuz.","Depenalizzazione","1","1000001795"
"Privato","8000349054","Concluso","Chiuso","Reclami commerciali","Reclami su prestazioni","Mancanza e/o ritardo nella prestazione","Reclamo","1","1000001451"
